id,Expenditure,N
76,Total.Rice.Expenditure,34222
76,Meat.Expenditure,12892
76,Total.Fish.and..marine.products.Expenditure,8595
76,Fruit.Expenditure,2540
76,Vegetables.Expenditure,7161
77,Bread.and.Cereals.Expenditure,42961
77,Total.Rice.Expenditure,36501
77,Meat.Expenditure,13902
77,Total.Fish.and..marine.products.Expenditure,7955
77,Fruit.Expenditure,2770
77,Vegetables.Expenditure,5520
78,Bread.and.Cereals.Expenditure,13956
78,Total.Rice.Expenditure,12168
78,Meat.Expenditure,3621
78,Total.Fish.and..marine.products.Expenditure,3878
78,Fruit.Expenditure,1005
78,Vegetables.Expenditure,3208
79,Bread.and.Cereals.Expenditure,36893
79,Total.Rice.Expenditure,25557
79,Meat.Expenditure,10224
79,Total.Fish.and..marine.products.Expenditure,10718
79,Fruit.Expenditure,1870
79,Vegetables.Expenditure,6878
80,Bread.and.Cereals.Expenditure,68989
80,Total.Rice.Expenditure,43365
80,Meat.Expenditure,21917
80,Total.Fish.and..marine.products.Expenditure,14842
80,Fruit.Expenditure,2785
80,Vegetables.Expenditure,7134
81,Bread.and.Cereals.Expenditure,40301
81,Total.Rice.Expenditure,34457
81,Meat.Expenditure,12906
81,Total.Fish.and..marine.products.Expenditure,7832
81,Fruit.Expenditure,1210
81,Vegetables.Expenditure,6743
82,Bread.and.Cereals.Expenditure,31880
82,Total.Rice.Expenditure,26817
82,Meat.Expenditure,10713
82,Total.Fish.and..marine.products.Expenditure,8864
82,Fruit.Expenditure,1660
82,Vegetables.Expenditure,5846
83,Bread.and.Cereals.Expenditure,35810
83,Total.Rice.Expenditure,28156
83,Meat.Expenditure,10489
83,Total.Fish.and..marine.products.Expenditure,7593
83,Fruit.Expenditure,1355
83,Vegetables.Expenditure,5958
84,Bread.and.Cereals.Expenditure,44554
84,Total.Rice.Expenditure,30167
84,Meat.Expenditure,15818
84,Total.Fish.and..marine.products.Expenditure,6717
84,Fruit.Expenditure,1895
84,Vegetables.Expenditure,5128
85,Bread.and.Cereals.Expenditure,27886
85,Total.Rice.Expenditure,24198
85,Meat.Expenditure,8762
85,Total.Fish.and..marine.products.Expenditure,7836
85,Fruit.Expenditure,1715
85,Vegetables.Expenditure,3717
86,Bread.and.Cereals.Expenditure,21285
86,Total.Rice.Expenditure,15957
86,Meat.Expenditure,7087
86,Total.Fish.and..marine.products.Expenditure,6419
86,Fruit.Expenditure,1150
86,Vegetables.Expenditure,4671
87,Bread.and.Cereals.Expenditure,32849
87,Total.Rice.Expenditure,29262
87,Meat.Expenditure,9961
87,Total.Fish.and..marine.products.Expenditure,9404
87,Fruit.Expenditure,1810
87,Vegetables.Expenditure,6392
88,Bread.and.Cereals.Expenditure,42990
88,Total.Rice.Expenditure,36500
88,Meat.Expenditure,23506
88,Total.Fish.and..marine.products.Expenditure,14452
88,Fruit.Expenditure,1370
